BillingCity;BillingCountry;BillingPostalCode;BillingState;BillingStreet;CEP__c;Codigo_do_Cliente_SAP__c;CodigoClienteSAPRecebedor_DFV__c;Inscricao_Estadual__c;Inscricao_Municipal__c;Inscricao_SUFRAMA__c;Inscricao_INSS_CEI__c;RNE__c;UFCapex__c;Data_abertura_empresa__c;Data_Expedicao_RNE__c;Status_da_Conta__c;Caldeira__c;Corporativo__c;Cozinha_Industrial__c;Ecodriyer__c;Forno__c;Gerador_Eletrico__c;Key_Account__c;Orgao_Publico__c;SMG__c;TPC__c;Usina_de_Asfalto__c;Venda_Spot__c;Condicao_de_Pagamento__c;Escritorio_de_Vendas2__c;Grupo_Clientes2__c;Grupo_de_Contas2__c;Subsegmento__c;Estabelecimento_Unidade_de_Negocio_SHV__c;Consultor_Remunerado_pela_Prospec_o__c;OwnerId;Vendedor_VIc;Latitude__c;Longitude__c;Mesorregiao__c;BairroCapexc;Cidade_Satelite__c;Complemento2c;Nome_Fantasia_Apelidoc;Condicoes_de_abastecimentoc;Rua_nc;Mes_de_Reajustec;Cidadec;Paisc;Name;Regiao__c;Numero_do_Documento__c;Numero__c;Codigo_Parceiro_Negocio__c;RecordTypeId;Segmentoc;ShippingCity;ShippingCountry;ShippingPostalCode;ShippingState;ShippingStreet;Tipoc;Ativacao_de_clientec;Inativacao_de_Clientec;Dados_Adicionaisc;Politica_de_Relacionamentoc;Volume_Potencial__c;Id
CURITIBA;BR;80215-020;PR;"R IAPO 1671 PRADO VELHO ";80215-020;0001083811;0001083811;9046991602;ISENTO;;00000000000000000000;NULL;PR;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABGIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDwCMAV;a0BA000000BkujyMAB;0054z00000ALGhIAAX;0054z00000ALGhIAAX;NULL;;;NULL;PRADO VELHO;;;RESTAURANTE ROSZE;Entregando;R IAPO;;CURITIBA;BR;JOSE VALDAIR DE MORAES ME;NULL;03520551000174;1671;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;CURITIBA;BR;80215-020;PR;"R IAPO 1671 PRADO VELHO ";Pessoa Jurídica;;;;;0;001A000000d7XFtIAM
ARAGUAINA;BR;77805-010;TO;"AV CON JOAO LIMA 1591 LT 3 QD  SETOR CENTRAL ";77805-010;0001318884;0001318884;294299815;ISENTO;;00000000000000000000;NULL;TO;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hZIAR;a0xF000001OjABMIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDwEMAV;a0BA000000BkuixMAB;005F00000042HXFIA2;005F00000042HXFIA2;NULL;;;NULL;SETOR CENTRAL;;;CONVENIENCIA NEBLINA;Entregando;AV CON JOAO LIMA 1591 LT 3 QD;;ARAGUAINA;BR;J CESAR DA COSTA  ME;NULL;07592494000190;NULL;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;ARAGUAINA;BR;77805-010;TO;"AV CON JOAO LIMA 1591 LT 3 QD  SETOR CENTRAL ";Pessoa Jurídica;;;;;00000;001F000001VYhgNIAT
ITABIRA;BR;35900-408;MG;AVDOS MEDICOS  GABIROBA 1 SECAO LANCHONETE DA QUAD;35900-408;0001974824;0001974824;ISENTO;ISENTO;;00000000000000000000;NULL;MG;1976-06-26;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABCIA3;a15F0000003QQafIAG;a17F000000R17A2IAJ;a0CF000000OdDvkMAF;a0BA000000BkujZMAR;0051Y00000AVtedQAD;005F0000002GclmIAC;NULL;;;NULL;GABIROBA 1 SECAO;;LANCHONETE DA QUADRA;VAGNER;Entregando;AVDOS MEDICOS;;ITABIRA;BR;VAGNER GERALDO BATISTA;NULL;03701434697;NULL;NULL;012A0000000ernMIAQ;a0AA0000005k9H8MAI;ITABIRA;BR;35900-408;MG;AVDOS MEDICOS  GABIROBA 1 SECAO LANCHONETE DA QUAD;Pessoa Física;;;;;0;001F000001nakW6IAI
SALVADOR;BR;40050-000;BA;"AV JOANA ANGELICA 808 NAZARE ";40050-000;0003827623;0003827623;127000488;ISENTO;;00000000000000000000;NULL;BA;2015-08-27;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hdIAB;a0xF000001OjABUIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDwCMAV;a0BA000000BkujNMAR;005F0000001wHA9IAM;005F0000001wHA9IAM;NULL;;;NULL;NAZARE;;;J.S. SOUZA RESTAURANTES EIRELI;Entregando;AV JOANA ANGELICA;02 FEVEREIRO;SALVADOR;BR;J.S. SOUZA RESTAURANTES EIRELI;NULL;23163836000102;808;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;SALVADOR;BR;40050-000;BA;"AV JOANA ANGELICA 808 NAZARE ";Pessoa Jurídica;;;;;1.000;0014z00001ckEObAAM
LONDRINA;BR;86036-030;PR;"AV SAO JOAO 2835 ANTARES ";86036-030;0001948417;0001948417;ISENTO;ISENTO;;00000000000000000000;NULL;PR;1983-06-09;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABIIA3;a15F0000003QQafIAG;a17F000000R17A2IAJ;a0CF000000OdDvkMAF;a0BA000000Bkuk3MAB;005F0000003QdNEIA0;005F00000043PLkIAM;NULL;;;NULL;ANTARES;;;PANIFICADORA E CONFEITARIA SÃO JOÃO;Entregando;AV SAO JOAO;11 NOVEMBRO;LONDRINA;BR;MARCIA CRISTIANE DIAS;NULL;04350797947;2835;NULL;012A0000000ernMIAQ;a0AA0000005k9H8MAI;LONDRINA;BR;86036-030;PR;"AV SAO JOAO 2835 ANTARES ";Pessoa Física;NOVO NEGÓCIO;;;;0.18;001F000001bFjmmIAC
CACHOEIRO DE ITAPEMIRIM;BR;29309-100;ES;"AV CARLY LEVY RAMOS 81 NOVO PARQUE ";29309-100;0001038560;0001038560;081441169;ISENTO;;00000000000000000000;NULL;ES;NULL;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABAIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvlMAF;a0BA000000BkukUMAR;005F0000001wXWbIAM;005F0000001wXWbIAM;NULL;;;NULL;NOVO PARQUE;;;BARATEX;Entregando;AV CARLY LEVY RAMOS;;CACHOEIRO DE ITAPEMIRIM;BR;PRODAF PRODUTOS A FRUTTIN LTDA ME;NULL;36413516000105;81;NULL;012A0000000ernMIAQ;a0AA0000005k9H9MAI;CACHOEIRO DE ITAPEMIRIM;BR;29309-100;ES;"AV CARLY LEVY RAMOS 81 NOVO PARQUE ";Pessoa Jurídica;;;;;00000;001F000000g9biWIAQ
GOIANIA;BR;74465-539;GO;"R R 16 250 SETOR OESTE ";74465-539;0001030845;0001030845;ISENTO;ISENTO;;00000000000000000000;NULL;GO;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34iFIAR;a0xF000001OjABOIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvpMAF;a0BA000000BkuivMAB;NULL;005A0000001KwVdIAK;NULL;;;NULL;SETOR OESTE;;;CONDOMINIO DO EDIFICIO PUNTA DEL ES;Entregando;R R 16;;GOIANIA;BR;CONDOMINIO DO EDIFICIO PUNTA DEL ES;NULL;25006016000132;250;NULL;012A0000000ernMIAQ;a0AA0000005k9H8MAI;GOIANIA;BR;74465-539;GO;"R R 16 250 SETOR OESTE ";Pessoa Jurídica;;;;;00000;001A000000d7oi0IAA
GOIANIA;BR;74313-070;GO;R R 3 140 SETOR UNIAO QD C1 LT 32 SL 3 4;74313-070;0001312605;0001312605;106299778;ISENTO;;00000000000000000000;NULL;GO;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hdIAB;a0xF000001OjABOIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDwCMAV;a0BA000000BkuivMAB;005F0000001vq03IAA;005F0000002l9qJIAQ;NULL;;;NULL;SETOR UNIAO;;QD C1 LT 32 SL 3 4;CANTINA RESTAURANTE;Entregando;R R 3;;GOIANIA;BR;JOSE RENALDO COSTA 45940886353;NULL;19226519000110;140;NULL;012A0000000ernMIAQ;a0AA0000005k9HBMAY;GOIANIA;BR;74313-070;GO;R R 3 140 SETOR UNIAO QD C1 LT 32 SL 3 4;Pessoa Jurídica;;;;D;0;001F000001R86BbIAJ
SAO JOSE DOS CAMPOS;BR;12244-010;SP;"AV POSSIDONIO JOSE DE FREITAS SN 0 URBANOVA ";12244-010;0001151924;0001151924;ISENTO;ISENTO;;00000000000000000000;NULL;SP;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hdIAB;a0xF000001OjAB2IAN;a15F0000003QQafIAG;a17F000000R17A2IAJ;a0CF000000OdDvkMAF;a0BA000000Bkul3MAB;005F0000003jLaXIAU;0052A000008Nhg6QAC;NULL;;;NULL;URBANOVA;;;RECANTO INSPIRE;Entregando;AV POSSIDONIO JOSE DE FREITAS SN;;SAO JOSE DOS CAMPOS;BR;CONRADO PFANNEMULLER;NULL;60230797849;0;NULL;012A0000000ernMIAQ;a0AA0000005k9H8MAI;SAO JOSE DOS CAMPOS;BR;12244-010;SP;"AV POSSIDONIO JOSE DE FREITAS SN 0 URBANOVA ";Pessoa Física;;;;;0.2;001F000000g9euPIAQ
JARINU;BR;13240-000;SP;"R DANTE ALEGUIERE 158 NOVA TRIESTE ";13240-000;0001099120;0001099120;400073190112;ISENTO;;00000000000000000000;NULL;SP;NULL;NULL;Inativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hZIAR;a0xF000001OjAB6IAN;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvlMAF;a0BA000000Bkul7MAB;005F0000001vkh5IAA;0051Y00000AZIejQAH;NULL;;;NULL;NOVA TRIESTE;;;CASABLANCA COMERCIO DE CAFE LTDA ME;Entregando;R DANTE ALEGUIERE;07 JULHO;JARINU;BR;CASABLANCA COMERCIO DE CAFE LTDA ME;NULL;05285485000120;158;NULL;012A0000000ernMIAQ;a0AA0000005k9H9MAI;JARINU;BR;13240-000;SP;"R DANTE ALEGUIERE 158 NOVA TRIESTE ";Pessoa Jurídica;;;;D;1.25;001F000000j7gHmIAI
SALVADOR;BR;40230-170;BA;"TV MARIA JOSE 6 FEDERACAO ";40230-170;0003667005;0003667005;134309271;ISENTO;;00000000000000000000;NULL;BA;2016-07-27;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hPIAR;a0xF000001OjABVIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvhMAF;a0BA000000BkujNMAR;NULL;0051Y00000B9msWQAR;0051Y00000B9msWQAR;;;NULL;FEDERACAO;;;GAS FEDERACAO;Entregando;TV MARIA JOSE;;SALVADOR;BR;VE COMERCIO DE GAS EIRELI;NULL;25317914000101;6;NULL;012A0000000ernRIAQ;a0AF000000KjxfyMAB;SALVADOR;BR;40230-170;BA;"TV MARIA JOSE 6 FEDERACAO ";Pessoa Jurídica;NOVO NEGÓCIO;;;;19500;0012A00002TS2tUQAT
CURITIBA;BR;80540-240;PR;"R SAO PIO X 105 AHU ";80540-240;0003980777;0003980777;ISENTO;ISENTO;;00000000000000000000;NULL;PR;1999-03-31;NULL;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34hdIAB;a0xF000001OjABGIA3;a15F0000003QQafIAG;a17F000000R17A3IAJ;a0CF000000OdDvpMAF;a0BA000000BkujyMAB;0054z000009L0aHAAS;0054z000009L0aHAAS;NULL;;;NULL;AHU;;;CONDOMINIO EDIFICIO SAO PIO X;Entregando;R SAO PIO X;11 NOVEMBRO;CURITIBA;BR;CONDOMINIO EDIFICIO SAO PIO X;NULL;03086236000180;105;NULL;012A0000000ernMIAQ;a0AA0000005k9H8MAI;CURITIBA;BR;80540-240;PR;"R SAO PIO X 105 AHU ";Pessoa Jurídica;NOVO NEGÓCIO;;;D;0.00;0014z00001nyK88AAE
