BillingCity;BillingCountry;BillingPostalCode;BillingState;BillingStreet;CEP__c;Codigo_do_Cliente_SAP__c;CodigoClienteSAPRecebedor_DFV__c;Inscricao_Estadual__c;Inscricao_Municipal__c;Inscricao_SUFRAMA__c;Inscricao_INSS_CEI__c;RNE__c;UFCapex__c;Data_abertura_empresa__c;Data_Expedicao_RNE__c;Status_da_Conta__c;Caldeira__c;Corporativo__c;Cozinha_Industrial__c;Ecodriyer__c;Forno__c;Gerador_Eletrico__c;Key_Account__c;Orgao_Publico__c;SMG__c;TPC__c;Usina_de_Asfalto__c;Venda_Spot__c;Condicao_de_Pagamento__c;Escritorio_de_Vendas2__c;Grupo_Clientes2__c;Grupo_de_Contas2__c;Subsegmento__c;Estabelecimento_Unidade_de_Negocio_SHV__c;Consultor_Remunerado_pela_Prospec_o__c;OwnerId;Vendedor_VI__c;Name;Latitude__c;Longitude__c;Mesorregiao__c;BairroCapex__c;Cidade_Satelite__c;Complemento2__c;Nome_Fantasia_Apelido__c;Condicoes_de_abastecimento__c;Rua_n__c;Mes_de_Reajuste__c;Cidade__c;Pais__c;Regiao__c;Numero_do_Documento__c;Numero__c;Codigo_Parceiro_Negocio__c;RecordTypeId;Segmento__c;ShippingCity;ShippingCountry;ShippingPostalCode;ShippingState;ShippingStreet;Tipo__c;Ativacao_de_cliente__c;Inativacao_de_cliente__c;Dados_Adicionais__c;Politica_de_Relacionamento__c;Volume_Potencial__c;Phone;Email__c
SAO LUIS;BR;65074-115;MA;AV DANIEL DE LA TOUCHE SALA 29 987 COHAMA UNICO LJ 308 B;65074-115;0003992192;;127277986;ISENTO;;00000000000000000000;;MA;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABcIAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujGMAR;005F0000001wSoaIAE;005F0000001wSoaIAE;;SAO LUIS GRILL SOCIEDADE UNIPESSOAL;;;;COHAMA;;UNICO LJ 308 B;SAL E BRASA GRILL EXPRESS;;AV DANIEL DE LA TOUCHE SALA 29;12 DEZEMBRO;SAO LUIS;BR;;43734936000159;987;10428265.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;SAO LUIS;BR;65074-115;MA;AV DANIEL DE LA TOUCHE SALA 29 987 COHAMA UNICO LJ 308 B;Pessoa Jurídica;;;;;0;(98)98434-3967;SAOLUISGRILL@GMAIL.COM
BRASILIA;BR;72015-901;DF;CSB 02 LOTES 01 04  TAGUATINGA CENTRO TAGUATINGA PM21;72015-901;0003992348;;0817493500125;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuiyMAB;005F0000006F9DxIAK;005F0000007fMveIAE;;DOG DA IGREJINHA ALAMEDA LTDA;;;;TAGUATINGA CENTRO TAGUATINGA;;PM21;DOG DA IGREJINHA;;CSB 02 LOTES 01 04;12 DEZEMBRO;BRASILIA;BR;;48443385000198;;10428375.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;72015-901;DF;CSB 02 LOTES 01 04  TAGUATINGA CENTRO TAGUATINGA PM21;Pessoa Jurídica;;;;;0;(61)99165-4574;KAROKA1000@GMAIL.COM
UBERLANDIA;BR;38408-902;MG;AV JOAO NAVES DE AVILA 1331 SANTA MONICA 219 A;38408-902;0003992682;;43349670032;ISENTO;;00000000000000000000;;MG;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABEIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujWMAR;005F0000001wEcVIAU;005F0000007fBn0IAE;;NFG COMERCIO LTDA;;;;SANTA MONICA;;219 A;THE BBURGUERS CENTER SHOP UBERLANDI;;AV JOAO NAVES DE AVILA;12 DEZEMBRO;UBERLANDIA;BR;;46288737000152;1331;10428616.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;UBERLANDIA;BR;38408-902;MG;AV JOAO NAVES DE AVILA 1331 SANTA MONICA 219 A;Pessoa Jurídica;;;;;0;(11)98364-9396;THEBBURGERSBBTH326@GMAIL.COM
BRASILIA;BR;70305-901;DF;SCS QUADRA 5  ASA SUL A LOJA 12;70305-901;0003991955;;0811496500151;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuiyMAB;005F0000005EOk7IAG;005F0000007fMveIAE;;ABREU COMERCIO VAREJISTA DE ALIMENT;;;;ASA SUL;;A LOJA 12;LABAREDAS GRILL;;SCS QUADRA 5;12 DEZEMBRO;BRASILIA;BR;;45234723000193;;10428112.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;70305-901;DF;SCS QUADRA 5  ASA SUL A LOJA 12;Pessoa Jurídica;;;;;0;(61)99200-5684;RESTAURANTELABAREDASGRILL@GMAIL.COM
GOIANIA;BR;74435-300;GO;AV ANHANGUERA QD 582 LT 01  AEROVIARIO 1225;74435-300;0003992188;;109183045;ISENTO;;00000000000000000000;;GO;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABOIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuivMAB;005F0000001vqtBIAQ;005F0000002kVtrIAE;;TAVARES RESTAURANTE LTDA;;;;AEROVIARIO;;1225;MAX SUSHI CERRADO;;AV ANHANGUERA QD 582 LT 01;12 DEZEMBRO;GOIANIA;BR;;46057762000125;;10428262.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;GOIANIA;BR;74435-300;GO;AV ANHANGUERA QD 582 LT 01  AEROVIARIO 1225;Pessoa Jurídica;;;;;0;(62)98294-0099;DANIELTP.ENG@GMAIL.COM
DUQUE DE CAXIAS;BR;25085-008;RJ;RODOVIA WASHINGTON LUIZ 2895 PARQUE DUQUE 303-G;25085-008;0003992386;;12640749;ISENTO;;00000000000000000000;;RJ;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk9MAB;005F0000001xi6HIAQ;0052A000008NCOuQAO;;ZAMP S A;;;;PARQUE DUQUE;;303-G;PLK CAXIAS SHOP;;RODOVIA WASHINGTON LUIZ;12 DEZEMBRO;DUQUE DE CAXIAS;BR;;13574594129121;2895;10428394.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;DUQUE DE CAXIAS;BR;25085-008;RJ;RODOVIA WASHINGTON LUIZ 2895 PARQUE DUQUE 303-G;Pessoa Jurídica;;;;;0;(11)23970-0320;MARCELO.CARVALHO@ZAMP.COM.BR
SALVADOR;BR;40024-081;BA;AVENIDA JOSE JOAQUIM SEABRA 151 BARROQUINHA A BOX 02;40024-081;0003950315;;ISENTO;ISENTO;;00000000000000000000;;BA;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABUIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujLMAR;0051Y00000AZ3dbQAD;0051Y00000BejWHQAZ;;;;;;BARROQUINHA;;A BOX 02;DERIVALDO DE SANTANA;;AVENIDA JOSE JOAQUIM SEABRA;07 JULHO;SALVADOR;BR;;05684803504;151;10397587.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;SALVADOR;BR;40024-081;BA;AVENIDA JOSE JOAQUIM SEABRA 151 BARROQUINHA A BOX 02;Pessoa Física;;;;;0;(71)98759-5367;LUCIENEPUBLICIDADE820@GMAIL.COM
RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 13;22763-627;0003989799;;11950329;ISENTO;;00000000000000000000;;RJ;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk9MAB;0052A000008MokwQAC;0052A000008MokwQAC;;DECK MASSAS LTDA;;;;GARDENIA AZUL;;5 13;DECK MASSAS;;AVENIDA ISABEL DOMINGUES;12 DEZEMBRO;RIO DE JANEIRO;BR;;40415706000139;300;10426526.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 13;Pessoa Jurídica;;;;;0;(21)96404-9656;CAYORIBEIRO1993@GMAIL.COM
GOIANIA;BR;74055-045;GO;AVENIDA INDEPENDENCIA QD 140 LT 01 06 3392 SETOR CENTRAL PISO 2 AL2004;74055-045;0003989962;;109871960;ISENTO;;00000000000000000000;;GO;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABOIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuivMAB;005F0000003Sm2ZIAS;0054z000009OIhvAAG;;GIRA LC CINCO COMERCIO DE ALIMENTOS;;;;SETOR CENTRAL;;PISO 2 AL2004;GIRAFFAS;;AVENIDA INDEPENDENCIA QD 140 LT 01 06;12 DEZEMBRO;GOIANIA;BR;;48695299000172;3392;10426652.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;GOIANIA;BR;74055-045;GO;AVENIDA INDEPENDENCIA QD 140 LT 01 06 3392 SETOR CENTRAL PISO 2 AL2004;Pessoa Jurídica;;;;;0;(62)99211-9379;EVERSONBARBOSA007@HOTMAIL.COM
BRASILIA;BR;70770-100;DF;STN  ASA NORTE CONJ J T98/99;70770-100;0003991947;;0818398300139;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuiyMAB;005F0000006F9DxIAK;005F0000007fMveIAE;;TAVERNA VIKING CHOPP E PARILLA LTDA;;;;ASA NORTE;;CONJ J T98/99;TAVERNA VIKINGS CHOPP E PARILLA;;STN;12 DEZEMBRO;BRASILIA;BR;;48889934000152;;10428105.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;70770-100;DF;STN  ASA NORTE CONJ J T98/99;Pessoa Jurídica;;;;;0;(61)99233-0918;VIKINGSPARKSUL@GMAIL.COM
